name,lat,lon,temp,hum,wind,cloud,maxt
stubbekobing,54.89,12.04,41.9,38,3.15,0,46.99
teseney,15.11,36.66,72.5,17,6.44,85,72.5
vanimo,-2.67,141.3,82.74,79,1.43,100,82.74
nabire,-3.37,135.48,85.96,64,1.36,54,85.96
monticello,45.31,-93.79,48.61,26,9.17,1,50.0
marsh harbour,26.54,-77.06,80.15,78,12.24,42,80.15
gedo,9.02,37.45,57.7,26,1.95,100,57.7
micheweni,-4.97,39.83,79.32,80,15.82,100,79.32
zhigalovo,54.81,105.16,25.39,78,6.33,0,25.39
hereford,52.06,-2.71,44.01,78,7.23,25,44.01
vostok,46.49,135.88,43.72,45,7.34,100,43.72
sterling,39.01,-77.43,63.66,39,9.17,75,64.99
landerneau,48.45,-4.25,50.52,81,9.17,87,51.8
the valley,18.22,-63.06,80.53,74,8.05,20,81.0
ketchikan,55.34,-131.65,49.62,81,12.75,75,51.8
sokolo,14.73,-6.12,91.33,28,10.58,61,91.33
kaeo,-35.1,173.78,60.49,94,1.01,100,61.0
marrakesh,31.63,-8.01,60.8,67,5.82,40,60.8
castelldefels,41.28,1.97,60.12,93,14.99,75,60.8
shimoda,34.67,138.95,48.15,93,13.87,75,51.8
den helder,52.96,4.76,48.78,61,21.92,0,50.0
liwale,-9.77,37.93,66.96,84,4.65,80,66.96
moron,-34.65,-58.62,69.58,72,5.03,0,70.0
vestmannaeyjar,63.44,-20.27,46.08,93,28.1,100,46.08
talnakh,69.49,88.4,37.4,74,24.61,100,37.4
shyryayeve,47.38,30.2,48.25,52,5.64,100,48.25
tezu,27.92,96.17,65.48,71,3.96,96,65.48
dedza,-14.38,34.33,55.0,66,5.48,59,55.0
saint anthony,45.02,-93.22,49.46,23,8.05,1,51.01
yagodnoye,62.55,149.67,6.37,83,4.61,100,6.37
emmen,52.78,6.91,45.52,42,5.82,0,46.4
tawang,27.58,91.87,41.0,31,2.64,55,41.0
kapit,2.02,112.93,77.38,88,0.54,94,77.38
bubaque,11.28,-15.83,77.02,74,13.06,75,77.02
sakakah,29.97,40.21,68.0,40,8.05,2,68.0
torrelavega,43.35,-4.05,55.8,85,3.0,93,55.99
outlook,51.5,-107.05,46.22,57,13.6,100,46.22
gavrilov posad,56.56,40.12,33.03,88,3.38,64,33.03
yashkul,46.17,45.34,52.56,76,3.53,84,52.56
baracoa,20.35,-74.5,79.45,82,9.22,20,79.45
bridlington,54.08,-0.19,41.34,93,6.93,0,42.01
olinda,-8.01,-34.86,82.4,78,6.93,40,82.4
idaho falls,43.47,-112.03,58.62,25,6.93,75,60.8
makakilo city,21.35,-158.09,79.77,58,10.29,1,82.4
portland,45.52,-122.68,62.53,48,8.05,20,64.99
suluq,31.67,20.25,67.03,34,11.52,53,67.03
sinop,41.77,34.87,51.76,55,2.57,99,51.76
elizabeth city,36.29,-76.25,65.28,82,4.7,90,66.99
sundsvall,62.39,17.31,42.71,70,12.75,3,44.01
madawaska,47.36,-68.33,46.2,88,10.29,90,46.4
quatre cocos,-20.21,57.76,74.57,88,11.41,40,75.2
dudinka,69.41,86.18,37.4,74,24.61,100,37.4
ostersund,63.18,14.64,37.4,86,9.17,56,37.4
bargur,12.54,78.35,71.83,78,2.62,12,71.83
bastia,42.67,9.33,57.52,93,5.82,90,59.0
ancud,-41.87,-73.82,50.0,81,5.82,40,50.0
abonnema,4.71,6.79,77.04,85,2.06,99,77.04
port shepstone,-30.74,30.45,68.32,82,17.87,0,68.32
mayen,50.33,7.22,48.85,52,14.99,0,52.0
matay,28.42,30.78,64.98,48,17.98,0,64.98
mackay,-21.15,149.2,80.49,88,6.93,90,84.0
abong mbang,3.98,13.18,67.57,80,3.06,100,67.57
petropavlovsk-kamchatskiy,53.05,158.65,33.8,26,15.66,21,33.8
liberal,37.04,-100.92,70.63,24,6.93,20,71.6
fare,-16.7,-151.02,83.71,75,17.58,63,83.71
ishigaki,24.34,124.16,75.2,94,12.75,75,75.2
punta alta,-38.88,-62.07,63.32,55,10.38,93,63.32
porto santo,33.07,-16.34,60.8,77,9.17,20,60.8
harrismith,-28.27,29.13,49.62,47,0.6,0,49.62
orichi,58.4,49.06,32.27,89,3.31,80,32.27
ures,29.43,-110.4,84.69,20,5.01,49,87.01
conakry,9.54,-13.68,80.6,83,9.17,20,80.6
donskoye,45.46,41.97,50.41,76,6.4,45,50.41
marzuq,14.4,46.47,72.27,47,2.91,100,72.27
bara,10.37,10.73,85.71,43,5.86,52,85.71
muros,42.78,-9.06,49.44,91,1.19,62,53.01
sur,22.57,59.53,83.8,46,8.32,1,83.8
roela,59.17,26.59,33.75,88,4.88,47,33.75
kholuy,56.58,41.87,33.67,87,2.26,94,33.67
verkhnyaya inta,65.98,60.31,34.11,94,6.22,100,34.11
rio verde de mato grosso,-18.92,-54.84,72.72,74,6.53,3,72.72
chara,56.91,118.26,14.4,73,6.02,87,14.4
santa cruz de la palma,28.68,-17.76,64.4,72,10.29,20,64.4
bontang,0.13,117.5,76.51,90,4.52,100,76.51
plymouth,41.83,-70.83,48.92,57,18.34,1,50.0
dubasari,47.26,29.16,53.29,34,9.17,100,53.6
channel-port aux basques,47.57,-59.14,33.55,92,20.76,100,33.55
brownsville,25.9,-97.5,97.48,35,16.11,1,98.6
balikpapan,-1.27,116.83,76.1,91,3.71,100,76.1
broome,42.25,-75.83,52.83,43,11.41,75,55.4
la ronge,55.1,-105.28,41.0,35,18.34,75,41.0
daru,-9.08,143.21,84.34,76,9.24,47,84.34
lanzhou,36.06,103.79,42.19,37,4.47,100,46.0
jennings,38.72,-90.26,66.45,48,11.41,40,68.0
gubkinskiy,64.43,76.5,32.34,96,11.07,98,32.34
kloulklubed,7.04,134.26,82.4,83,9.17,75,82.4
great falls,47.5,-111.3,59.38,26,18.34,40,60.8
bogo,11.05,124.01,84.0,75,10.63,71,84.0
beyneu,45.32,55.2,62.47,48,2.71,100,62.47
